stock_code,sample_path,train_days,test_days,embargo_days,window_id,train_start,train_end,test_start,test_end,model_family,model_name,params,n,spearman,pearson,rmse,target_std,rmse_norm,r2,pred_std,pred_std_ratio
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,1,2020-01-02,2022-02-17,2022-02-21,2022-03-21,constant,constant_mean,{},21,,,262.80295263130495,242.05849214525531,1.0857001970978206,-0.17874491797824654,0.0,0.0
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,2,2020-02-10,2022-03-18,2022-03-22,2022-04-21,constant,constant_mean,{},21,,,248.92902087336796,233.21463042275877,1.0673816665023246,-0.13930362198527946,0.0,0.0
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,3,2020-03-10,2022-04-20,2022-04-22,2022-05-25,constant,constant_mean,{},21,,,362.81984741231463,360.55375140409456,1.0062850434904513,-0.012609588752579448,0.0,0.0
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,4,2020-04-09,2022-05-24,2022-05-26,2022-06-24,constant,constant_mean,{},21,,,360.9332128392463,332.2661317205782,1.0862774697204949,-0.17999874122236048,3.552713678800501e-15,1.0692373792066726e-17
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,5,2020-05-13,2022-06-23,2022-06-27,2022-07-25,constant,constant_mean,{},21,,,272.6413019764504,271.41076868525516,1.004533841074752,-0.009088237864394832,0.0,0.0
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,6,2020-06-11,2022-07-22,2022-07-26,2022-08-23,constant,constant_mean,{},21,,,384.3047739380648,375.53072318099214,1.0233644019396086,-0.047274699157213274,5.329070518200751e-15,1.4190771058783206e-17
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,7,2020-07-28,2022-08-22,2022-08-24,2022-09-22,constant,constant_mean,{},21,,,391.8826534644458,363.1361482636467,1.079161783640246,-0.16459015526959675,3.552713678800501e-15,9.78342061452151e-18
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,8,2020-08-26,2022-09-21,2022-09-23,2022-10-28,constant,constant_mean,{},21,,,234.19361030901786,233.47259682991614,1.0030882145866007,-0.006185966242534313,1.7763568394002505e-15,7.608416848570539e-18
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,9,2020-09-24,2022-10-27,2022-10-31,2022-11-28,constant,constant_mean,{},21,,,188.5985126927019,188.0901598523494,1.0027027083221767,-0.005412721276628396,1.7763568394002505e-15,9.444177413612115e-18
002270,saved_data/002270_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,504,21,1,10,2020-11-02,2022-11-25,2022-11-29,2022-12-27,constant,constant_mean,{},21,,,156.9236713753165,150.85215347677558,1.040248135400173,-0.08211618320353642,5.329070518200751e-15,3.5326446427038825e-17
